method_id,label,group,controller,episodes,success_rate,gridlock_rate,mean_ttr_success_only,mean_queue_excess_area,mean_throughput_recovery,source
checkerboard_ckpt_20,Checkerboard ckpt 20,Selected,adp_eval,24,0.041666666666666664,0.0,212.0,5791.4171375,2.4686050416666667,outputs\runs\real_world_final_reproduction_rate1000\checkerboard_ckpt20_eval24\eval_summary.csv
random_zero,Random zero,Selected,adp_eval,24,0.0,0.0,,5759.5921708333335,2.5553456666666667,outputs\runs\real_world_final_reproduction_rate1000\random_zero_eval24\eval_summary.csv
grid4x4_transfer,4x4 grid transfer,Transfer,adp_eval,24,0.0,0.0,,5748.657020833333,2.5404944166666668,outputs\runs\real_world_final_reproduction_rate1000\grid4x4_transfer_eval24\eval_summary.csv
greedy,Greedy,Baseline,greedy,24,0.08333333333333333,0.0,375.0,3502.921691666667,2.976027,outputs\runs\real_world_final_reproduction_rate1000\greedy_eval24\eval_summary.csv
max_pressure,Max pressure,Baseline,max_pressure,24,0.125,0.0,328.3333333333333,3551.4905708333335,3.004902125,outputs\runs\real_world_final_reproduction_rate1000\max_pressure_eval24\eval_summary.csv
fixed_time,Fixed time,Baseline,fixed_time_rr,24,0.0,0.0,,5914.497108333333,2.8516985833333335,outputs\runs\real_world_final_reproduction_rate1000\fixed_time_eval24\eval_summary.csv
